	Cross section of sclerenchyma fibers in plant ground tissue	0
27	The latter peaked at No . 30 on the Hot 100 and No . 11 on the Hot Rap Tracks charts while `` I Know You Want Me '' peaked at No . 2 on the Hot 100 and peaked within the top ten spots of charts in the UK , Canada , Italy , and the Netherlands .	0
28	The song reached No . 1 in France and the European Hot 100 on the week ending August 29 , 2009 according to Billboard magazine .	0
29	He later signed with Polo Grounds Music through Sony Music and created his own label Mr. 305 Inc .	0
30	Another single from Rebelution was `` Hotel Room Service `` , which peaked at No . 8 on the Hot 100 .	0
31	Rebelution went on to sell over 7.5 million worldwide digital singles and albums combined .	0
32	Nevertheless , he dropped a smash called `` Give Me Everything '' which reached # 1 worldwide , and featured artists Ne-yo , Nayer , and Afrojack .	0
33	He has also performed as a featured artist in the remixes of many other hit songs , like Tik Tok , Scream & Shout , Lo Hecho Esta Hecho , Bad , Papi , Diamonds , How Low , Tonight ( I 'm Lovin ' You ) , Video Phone , Over To You Now and Bumpy Ride .	0
34	Pérez is also the host of his own Spanish-language program on the cable channel Mun2 titled La Esquina ( Spanish for The Corner ) .	0
35	In 2005 Pérez and rapper Sean 'Diddy ' Combs co-founded Bad Boy Latino , a subsidiary of Combs ' Bad Boy Records label .	0
36	It primarily focuses on Latin hip hop , Latin soul , Latin pop and other Tropical music , and has offices in New York and Miami , Florida .	0
37	Along with co-founding it , Pérez currently heads the A & R division of the label .	0
38	Pérez has become a product endorser , representing alongside Drake , Rihanna , and Trey Songz the “So Kodak” campaign for the Kodak brand and embarking on a partnership with the soft drink giant Dr Pepper as part of the campaign “ Vida 23 ” for which he recorded the song specifically featured on his album Armando .	0
39	Pitbull also announced he has become the spokesperson for Voli Vodka , in which he holds a majority equity stake , and Budweiser has chosen Pitbull to promote its Bud Light line of beer .	0
40	The commercials currently highlight Pitbull dancing and gyrating on stage holding up a bottle of Bud Light .	0
41	Pitbull has also purchased an equity stake in Miami Subs Pizza and Grill .	0
42	This is a list of known biological mothers under 11 years of age .	0
43	A pornographic actor or actress or a porn star is a person who performs sex acts in film , normally characterised as a pornographic film .	0
44	Pornographic films tend to be made in a number of distinct pornographic sub-genres and attempt to present a sexual fantasy and the actors selected for a particular role are primarily selected on their ability to create or fit that fantasy .	0
45	Depending on the genre of the film , the on-screen appearance and physical features of the main actors and their ability to create the sexual mood of the film is of critical importance .	0
46	Most actors specialise in certain genres , such as lesbian sex , bondage , strap-on sex , anal sex , double penetration , semen swallowing , teenage women , interracial or MILFs .	0
47	Irrespective of the genre , most actors are required to appear nude in pornographic films .	0
48	In pornographic films directed at a heterosexual male viewer , the primary focus is on the women in them , who are mostly selected for their willingness and ability to perform the required sex acts and on their on-screen appearance or physical appeal .	0
49	Most male performers in heterosexual pornography are generally selected less for their looks than for their sexual prowess , namely their ability to do three things : achieve an erection while on a busy film set , maintain that erection while performing on camera , and then ejaculate on cue .	0
50	The pornography industry in the United States was the first to develop a star system , especially for commercial reasons .	0
51	In other countries , the star system is not common , with most actors being amateurs .	0
52	Most performers continue to use a pseudonym and strive to maintain off-screen anonymity .	0
53	Exceptional performance of pornographic actors and actresses is recognised in the AVN Awards , XRCO Awards and XBIZ Awards .	0
54	The AVN Awards are movie awards sponsored and presented by the American adult video industry trade magazine AVN ( Adult Video News ) .	0
55	They are called the `` Oscars of porn '' .	0
56	The AVN Awards are divided into nearly 100 categories , some of which are analogous to industry awards offered in other film and video genres , and others that are specific to pornographic / erotic film and video .	0
57	The XRCO Awards are given by the X-Rated Critics Organization annually .	0
58	The Venus Awards are presented each year in Berlin as part of the Venus Berlin trade fair .	0
59	U.S. debt from 1940 to 2011 .	0
60	Red lines indicate the `` debt held by the public '' and black lines indicate the total national debt or gross public debt .	0
61	The difference is the `` intragovernmental debt , '' which includes obligations to government programs such as Social Security .	0
62	Stated as a formula , National Debt = Debt held by the Public + Intragovernmental Debt .	0
63	The second panel shows the two debt figures as a percentage of U.S. GDP ( dollar value of U.S. economic production for that year ) .	0
64	The top panel is deflated so every year is in 2010 dollars .	0
65	The United States public debt is the money borrowed by the federal government of the United States through the issuing of securities by the Treasury and other federal government agencies .	0
66	US public debt consists of two components:	0
67	Debt held by the public includes Treasury securities held by investors outside the federal government , including that held by individuals , corporations , the Federal Reserve System and foreign , state and local governments .	0
68	Debt held by government accounts or intragovernmental debt includes non-marketable Treasury securities held in accounts administered by the federal government that are owed to program beneficiaries , such as the Social Security Trust Fund .	0
69	Debt held by government accounts represents the cumulative surpluses , including interest earnings , of these accounts that have been invested in Treasury securities .	0
70	Public debt increases or decreases as a result of the annual unified budget deficit or surplus .	0
71	The federal government budget deficit or surplus is the difference between government receipts and spending , ignoring intra-governmental transfers .	0
72	However , some spending that is excluded from the deficit ( supplemental appropriations ) also adds to the debt .	0
73	Historically , the US public debt as a share of GDP increased during wars and recessions , and subsequently declined .	0
74	For example , debt held by the public as a share of GDP peaked just after World War II ( 113 % of GDP in 1945 ) , but then fell over the following 30 years .	0
75	In recent decades , however , large budget deficits and the resulting increases in debt have led to concern about the long-term sustainability of the federal government 's fiscal policies .	0
76	On 2 April 2013 , debt held by the public was approximately $ 11.959 trillion or about 75 % of GDP .	0
77	Intragovernmental holdings stood at $ 4.846 trillion , giving a combined total public debt of $ 16.805 trillion .	0
78	As of January 2013 , $ 5.6 trillion or approximately 47 % of the debt held by the public was owned by foreign investors , the largest of which were the People 's Republic of China and Japan at just over $ 1.1 trillion each .	0
79	Athenian democracy developed in the Greek city-state of Athens , comprising the central city-state of Athens and the surrounding territory of Attica , around 550 BC .	0
80	Athens is one of the first known democracies .	0
81	Other Greek cities set up democracies , and even though most followed an Athenian model , none were as powerful , stable , nor as well-documented as that of Athens .	0
82	It remains a unique and intriguing experiment in direct democracy , a political system in which the people do not elect representatives to vote on their behalf but vote on legislation and executive bills in their own right .	0
83	Participation was by no means open , but the in-group of participants was constituted with no reference to economic class and they participated on a large scale .	0
84	The public opinion of voters was remarkably influenced by the political satire performed by the comic poets at the theatres .	0
85	Solon ( 594 BC ) , Cleisthenes ( 508/7 BC ) , and Ephialtes ( 462 BC ) contributed to the development of Athenian democracy creating new institutions .	0
86	The greatest and longest lasting democratic leader was Pericles ; after his death , Athenian democracy was twice briefly interrupted by oligarchic revolution towards the end of the Peloponnesian War .	0
87	It was modified somewhat after it was restored under Eucleides ; the most detailed accounts are of this fourth-century modification rather than the Periclean system .	0
88	It was suppressed by the Macedonians in 322 BC .	0
89	The Athenian institutions were later revived , but the extent to which they were a real democracy is debatable .	0
90	Owls are a group of birds that belong to the order Strigiformes , constituting 200 extant bird of prey species .	1
91	Most are solitary and nocturnal , with some exceptions ( e.g. , the Northern Hawk Owl ) .	0
92	Owls hunt mostly small mammals , insects , and other birds , although a few species specialize in hunting fish .	0
93	They are found in all regions of the Earth except Antarctica , most of Greenland and some remote islands .	0
94	Owls are characterized by their small beaks and wide faces , and are divided into two families : the typical owls , Strigidae ; and the barn-owls , Tytonidae .	0
95	What Do You Want From Me ( ? ) may refer to:	0
96	What Do You Want from Me ( album ) , by Orfeh	0
97	`` What Do You Want from Me ? ''	0
98	( Cascada song )	0
99	`` What Do You Want from Me ? ''	0
100	( Monaco song )	0
101	`` What Do You Want from Me '' ( Pink Floyd song )	0
102	`` What Do You Want from Me '' ( Forever the Sickest Kids song )	0
103	`` What Do You Want from Me ? `` , by Take That from Progress	0
104	`` Whataya Want from Me `` , a song by Adam Lambert	0
105	The modern Olympic Games ( , JO ) is the leading international sporting event featuring summer and winter sports competitions in which thousands of athletes participate in a variety of competitions .	0
106	The Olympic Games are considered to be the world 's foremost sports competition with more than 200 nations participating .	0
107	The Olympic Games are held quadrennially , ( every four years ) with the Summer and Winter Games alternating , meaning they each occur every four years but two years apart .	0
108	Their creation was inspired by the ancient Olympic Games , which were held in Olympia , Greece , from the 8th century BC to the 4th century AD .	0
109	Baron Pierre de Coubertin founded the International Olympic Committee ( IOC ) in 1894 .	0
110	The IOC is the governing body of the Olympic Movement , with the Olympic Charter defining its structure and authority .	0
111	The evolution of the Olympic Movement during the 20th and 21st centuries has resulted in several changes to the Olympic Games .	0
112	Some of these adjustments include the creation of the Winter Games for ice and winter sports , the Paralympic Games for athletes with a disability , and the Youth Olympic Games for teenage athletes .	0
113	The IOC has had to adapt to a variety of economic , political , and technological advancements .	0
114	As a result , the Olympics shifted away from pure amateurism , as envisioned by Coubertin , to allow participation of professional athletes .	0
115	The growing importance of mass media created the issue of corporate sponsorship and commercialization of the Games .	0
116	World wars led to the cancellation of the 1916 , 1940 , and 1944 Games .	0
117	Large boycotts during the Cold War limited participation in the 1980 and 1984 Games .	0
118	The Olympic Movement consists of international sports federations ( IFs ) , National Olympic Committees ( NOCs ) , and organizing committees for each specific Olympic Games .	0
119	As the decision-making body , the IOC is responsible for choosing the host city for each celebration of the Games .	0
120	The host city is responsible for organizing and funding the Games consistent with the Olympic Charter .	0
121	The Olympic program , consisting of the sports to be contested at the Games , is also determined by the IOC .	0
122	There are several Olympic rituals and symbols , such as the Olympic flag and torch , as well as the opening and closing ceremonies .	0
123	Over 13,000 athletes compete at the Summer Olympic Games and Winter Games in 33 different sports and nearly 400 events .	0
124	The first , second , and third place finishers in each event receive Olympic medals : gold , silver , and bronze , respectively .	0
125	The Games have grown in scale to the point that nearly every nation is represented .	0
126	Such growth has created numerous challenges , including boycotts , doping , bribery , and acts of terrorism .	0
127	Every two years , the Olympics and its media exposure provide unknown athletes with the chance to attain national , and sometimes international fame .	0
128	The Games also constitute an opportunity for the host city and country to showcase themselves to the world .	0
129	Pancreatic cancer is a malignant neoplasm originating from transformed cells arising in tissues forming the pancreas .	0
130	The most common type of pancreatic cancer , accounting for 95 % of these tumors , is adenocarcinoma ( tumors exhibiting glandular architecture on light microscopy ) arising within the exocrine component of the pancreas .	0
131	A minority arise from islet cells , and are classified as neuroendocrine tumors .	0
132	The signs and symptoms that eventually lead to the diagnosis depend on the location , the size , and the tissue type of the tumor , and may include abdominal pain , lower back pain , and jaundice ( if the tumor compresses the bile duct ) .	0
133	Pancreatic cancer is the fourth most common cause of cancer-related deaths in the United States and the eighth worldwide .	0
134	Pancreatic cancer has an extremely poor prognosis : for all stages combined , the 1- and 5-year relative survival rates are 25 % and 6 % , respectively ; for local disease the 5-year survival is approximately 20 % while the median survival for locally advanced and for metastatic disease , which collectively represent over 80 % of individuals , is about 10 and 6 months respectively.Individuals vary , however - some are only diagnosed when they are terminally ill already and therefore only have a few days or weeks .	0
135	Others have slower progression and may live a couple of years even if surgery is not possible .	0
136	Biblical judges	0
137	A biblical judge ( Hebrew : shôphaatîm or shoftim שופטים ) is `` a ruler or a military leader , as well as someone who presided over legal hearings . ''	0
138	Following the conquest of Canaan by Joshua until the formation of the first Kingdom of Israel ( ca . 1150-1025 BC ) , the Israelite Tribes formed a loose confederation .	0
139	No central government existed in this confederation and in times of crisis , the people were led by ad hoc leaders known as judges .	0
140	Roger Keith `` Syd '' Barrett ( 6 January 1946 – 7 July 2006 ) was an English singer , songwriter , guitarist , and painter , best remembered as a founder member of the band Pink Floyd .	0
141	He was the lead vocalist , guitarist , and primary songwriter during the band 's psychedelic years , providing major musical and stylistic direction in their early work : he is credited with creating their name .	0
142	Barrett left the group in April 1968 amid speculations of mental illness exacerbated by drug use , and was briefly hospitalised .	0
143	He was active musically for ten years , recording with Pink Floyd four singles , the debut album ( and contributing to the second one ) , plus several unreleased songs .	0
144	In 1969 , Barrett started off a solo career with the release of the single , `` Octopus `` , which foreshadowed his first solo album , The Madcap Laughs ( 1970 ) , which was recorded over the course of one year ( 1968–1969 ) with four different producers ( Peter Jenner , Malcolm Jones , David Gilmour , and Roger Waters ) .	0
145	Nearly two months after Madcap was released , Barrett began working on his second – and last – album , Barrett ( produced by Gilmour , and featuring contributions from Richard Wright ) , which would be released in late 1970 , before going into self-imposed seclusion lasting until his death in 2006 .	0
146	In 1988 , an album of unreleased tracks/alternate takes , Opel , was released by EMI with Barrett 's approval .	0
147	Barrett 's innovative guitar work and exploration of experimental techniques such as using dissonance , distortion , and feedback had an enormous legacy , with a wide variety of musicians from David Bowie to Brian Eno to Jimmy Page and more drawing influence .	0
148	In his post-musician life , Barrett continued with his painting and dedicated himself to gardening , never to return to the public eye .	0
149	He died in 2006 .	0
150	A number of biographies have been written about him since the 1980s , and Pink Floyd wrote and recorded several tributes to him after he left , most notably the 1975 album Wish You Were Here .	0
151	The Oklahoma City bombing was a domestic terrorist bomb attack on the Alfred P. Murrah Federal Building in downtown Oklahoma City on April 19 , 1995 .	0
152	It would remain the most destructive act of terrorism on American soil until the September 11 , 2001 attacks .	0
153	The Oklahoma blast claimed 168 lives , including 19 children under the age of 6 , and injured more than 680 people .	1
154	The blast destroyed or damaged 324 buildings within a sixteen-block radius , destroyed or burned 86 cars , and shattered glass in 258 nearby buildings .	0
155	The bomb was estimated to have caused at least $ 652 million worth of damage .	0
156	Extensive rescue efforts were undertaken by local , state , federal , and worldwide agencies in the wake of the bombing , and substantial donations were received from across the country .	0
157	The Federal Emergency Management Agency ( FEMA ) activated eleven of its Urban Search and Rescue Task Forces , consisting of 665 rescue workers who assisted in rescue and recovery operations .	0
158	Within 90 minutes of the explosion , Timothy McVeigh was stopped by Oklahoma State Trooper Charlie Hanger for driving without a license plate and arrested for unlawfully carrying a weapon .	0
159	Forensic evidence quickly linked McVeigh and Terry Nichols to the attack ; Nichols was arrested , and within days both were charged .	0
160	Michael and Lori Fortier were later identified as accomplices .	0
161	McVeigh , an American militia movement sympathizer who was a Gulf War veteran , had detonated an explosive-filled Ryder rental truck parked in front of the building .	0
162	McVeigh 's co-conspirator , Terry Nichols , had assisted in the bomb preparation .	0
163	Motivated by his hatred of the federal government and angered by what he perceived as its mishandling of the Waco Siege ( 1993 ) and the Ruby Ridge incident ( 1992 ) , McVeigh timed his attack to coincide with the second anniversary of the deadly fire that ended the siege at Waco .	0
164	The official investigation , known as `` OKBOMB '' , was the largest criminal investigation case in American history ; FBI agents conducted 28,000 interviews , amassing of evidence , and collected nearly one billion pieces of information .	0
165	The bombers were tried and convicted in 1997 .	0
166	McVeigh was executed by lethal injection on June 11 , 2001 , and Nichols was sentenced to life in prison .	0
167	Michael and Lori Fortier testified against McVeigh and Nichols ; Michael was sentenced to 12 years in prison for failing to warn the U.S. government , and Lori received immunity from prosecution in exchange for her testimony .	0
168	As with other large-scale terrorist attacks , conspiracy theories dispute the official claims and allege the involvement of additional perpetrators .	0
169	As a result of the bombing , the U.S. government passed the Antiterrorism and Effective Death Penalty Act of 1996 , which tightened the standards for habeas corpus in the United States , as well as legislation designed to increase the protection around federal buildings to deter future terrorist attacks .	0
170	On April 19 , 2000 , the Oklahoma City National Memorial was dedicated on the site of the Murrah Federal Building , commemorating the victims of the bombing .	0
171	Annual remembrance services are held at the same time of day as the original explosion occurred .	0
172	In American mathematics education , precalculus ( or Algebra 3 in some areas ) , is an advanced form of secondary school algebra , and a foundational mathematical discipline .	0
173	It is also called Introduction to Analysis .	0
174	In many schools , precalculus is actually two separate courses : Algebra and Trigonometry .	0
175	Precalculus prepares students for calculus the same way as pre-algebra prepares students for Algebra I .	0
176	While pre-algebra teaches students many different fundamental algebra topics , precalculus does not involve calculus , but explores topics that will be applied in calculus .	0
177	It often involves covering algebraic topics that might not have been given attention in earlier algebra courses .	0
178	Some precalculus courses might differ with others in terms of content .	0
179	For example , an honors level course might spend more time on conic sections , vectors , and other topics needed for calculus , used in fields such as medicine or engineering .	0
180	A college prepatory class might focus on topics used in business-related careers , such as matrices , or power functions .	0
181	In detail , precalculus deals with:	0
182	Sets	0
183	Real numbers	0
184	Complex numbers	0
185	Solving inequalities and equations	0
186	Properties of functions	0
187	Composite functions	0
188	Polynomial functions	0
189	Rational functions	0
190	Trigonometry	0
191	Trigonometric functions and their inverses	0
192	Trigonometric identities	0
193	Conic sections	0
194	Exponential functions	0
195	Logarithmic functions	0
196	Sequences and series	0
197	Binomial theorem	0
198	Vectors	0
199	Parametric equations	0
200	Polar coordinates	0
201	Matrices and determinants	0
202	Various cells and batteries ( top-left to bottom-right ) : two AA , one D , one handheld ham radio battery , two 9-volt ( PP3 ) , two AAA , one C , one camcorder battery , one cordless phone battery .	0
203	In electricity , a battery is a device consisting of one or more electrochemical cells that convert stored chemical energy into electrical energy .	0
204	Since the invention of the first battery ( or `` voltaic pile `` ) in 1800 by Alessandro Volta and especially since the technically improved Daniell cell in 1836 , batteries have become a common power source for many household and industrial applications .	0
205	According to a 2005 estimate , the worldwide battery industry generates US $ 48 billion in sales each year , with 6 % annual growth .	0
206	There are two types of batteries : primary batteries ( disposable batteries ) , which are designed to be used once and discarded , and secondary batteries ( rechargeable batteries ) , which are designed to be recharged and used multiple times .	0
207	Batteries come in many sizes , from miniature cells used to power hearing aids and wristwatches to battery banks the size of rooms that provide standby power for telephone exchanges and computer data centers .	0
208	Official Xbox 360 Banner used on game covers from 2005-2010	0
209	Official Xbox 360 Banner used on game covers from 2010-present	0
210	This is a list of retail Xbox 360 games released or planned for release on DVD .	0
211	For a list of downloadable Xbox Live Arcade games , see the List of Xbox Live Arcade games .	0
212	For a list of original Xbox games available to download from the Xbox Live , see the List of Xbox Originals .	0
213	For a chronological list , click the sort button in the 'First released ' column .	0
214	For technical information , such as resolution and install sizes , see the individual games ' page .	0
215	The column `` Exclusive '' indicates whether the Xbox 360 is the only platform on which the game is available .	0
216	This does not include handheld game consoles or mobile phones which generally run a completely different version of the game under the same name .	0
217	A value of `` Console '' for exclusivity means that , while a title may be available as an arcade game or on a PC using Microsoft Windows , Unix / Linux , or Mac OS X , it is not available on any other video game console in its native version .	0
218	The term `` Multi-platform '' means that the game has appeared on multiple consoles .	0
219	There are currently 952 games ( multiplatform : 751 ; exclusive : 123 ; console exclusive : 78 ) on this list as of April 2 , 2013 .	1
220	Northern California is the northern portion of the U.S. state of California .	0
221	The San Francisco Bay Area ( which includes the cities of San Francisco , Oakland , and San Jose ) , and Sacramento ( the state capital ) as well as its metropolitan area are the main population centers .	0
222	It also contains redwood forests , along with the Sierra Nevada including Yosemite Valley and part of Lake Tahoe , Mount Shasta ( the second-highest peak in the Cascade Range after Mount Rainier in Washington ) , and the northern half of the Central Valley , one of the world 's most productive agricultural regions .	0
223	The area also contains one of the 11 megaregions of the United States , spanning from the San Francisco Bay Area east to the Lake Tahoe - Reno area , and from Metropolitan Fresno north to Greater Sacramento .	0
224	Native Americans arrived in Northern California at least as early as 8,000 to 5,000 BC and perhaps even much earlier , and successive waves of arrivals led to one of the most densely populated areas of pre-Columbian North America .	0
225	The arrival of European explorers from the early 16th to the mid-18th centuries , did not establish European settlements in Northern California .	0
226	In 1770 , the Spanish mission at Monterey was the first European settlement in the area , followed by other missions along the coast—eventually extending as far north as Sonoma County .	0
227	Yosemite Valley in the Sierra Nevada .	0
228	Multiple sclerosis ( MS ) , also known as `` disseminated sclerosis '' or `` encephalomyelitis disseminata '' , is an inflammatory disease in which the fatty myelin sheaths around the axons of the brain and spinal cord are damaged , leading to demyelination and scarring as well as a broad spectrum of signs and symptoms .	0
229	Disease onset usually occurs in young adults , and it is more common in women .	0
230	It has a prevalence that ranges between 2 and 150 per 100,000 .	0
231	MS was first described in 1868 by Jean-Martin Charcot .	0
232	MS affects the ability of nerve cells in the brain and spinal cord to communicate with each other effectively .	0
233	Nerve cells communicate by sending electrical signals called action potentials down long fibers called axons , which are contained within an insulating substance called myelin .	0
234	In MS , the body 's own immune system attacks and damages the myelin .	0
235	When myelin is lost , the axons can no longer effectively conduct signals .	0
236	The name multiple sclerosis refers to scars ( sclerae-—better known as plaques or lesions ) particularly in the white matter of the brain and spinal cord , which is mainly composed of myelin .	0
237	Although much is known about the mechanisms involved in the disease process , the cause remains unknown .	0
238	Theories include genetics or infections .	0
239	Different environmental risk factors have also been found .	0
240	Almost any neurological symptom can appear with the disease , and the disease often progresses to physical and cognitive disability .	0
241	MS takes several forms , with new symptoms occurring either in discrete attacks ( relapsing forms ) or accumulating over time ( progressive forms ) .	0
242	Between attacks , symptoms may go away completely , but permanent neurological deficits often occur , especially as the disease advances .	0
243	There is no known cure for multiple sclerosis .	0
244	Treatments attempt to return function after an attack , prevent new attacks , and prevent disability .	0
245	MS medications can have adverse effects or be poorly tolerated , and many people pursue alternative treatments , despite the lack of supporting scientific study .	0
246	The prognosis is difficult to predict ; it depends on the subtype of the disease , the individual 's disease characteristics , the initial symptoms and the degree of disability the person experiences as time advances .	0
247	Life expectancy of people with MS is 5 to 10 years lower than that of the unaffected population .	0
248	Jupiter is the fifth planet from the Sun and the largest planet in the Solar System .	1
249	It is a gas giant with mass one-thousandth that of the Sun but is two and a half times the mass of all the other planets in the Solar System combined .	0
250	Jupiter is classified as a gas giant along with Saturn , Uranus and Neptune .	0
251	Together , these four planets are sometimes referred to as the or outer planets .	0
252	The planet was known by astronomers of ancient times , and was associated with the mythology and religious beliefs of many cultures .	0
253	The Romans named the planet after the Roman god Jupiter .	0
254	When viewed from Earth , Jupiter can reach an apparent magnitude of −2.94 , making it on average the third-brightest object in the night sky after the Moon and Venus .	0
255	( Mars can briefly match Jupiter 's brightness at certain points in its orbit . )	0
256	Jupiter is primarily composed of hydrogen with a quarter of its mass being helium , although helium only comprises about a tenth of the number of molecules .	0
257	It may also have a rocky core of heavier elements , but like the other gas giants , Jupiter lacks a well-defined solid surface .	0
258	Because of its rapid rotation , the planet 's shape is that of an oblate spheroid ( it possesses a slight but noticeable bulge around the equator ) .	0
259	The outer atmosphere is visibly segregated into several bands at different latitudes , resulting in turbulence and storms along their interacting boundaries .	0
260	A prominent result is the Great Red Spot , a giant storm that is known to have existed since at least the 17th century when it was first seen by telescope .	0
261	Surrounding Jupiter is a faint planetary ring system and a powerful magnetosphere .	0
262	There are also at least 67 moons , including the four large moons called the Galilean moons that were first discovered by Galileo Galilei in 1610 .	0
263	Ganymede , the largest of these moons , has a diameter greater than that of the planet Mercury .	0
264	Jupiter has been explored on several occasions by robotic spacecraft , most notably during the early Pioneer and Voyager flyby missions and later by the Galileo orbiter .	0
265	The most recent probe to visit Jupiter was the Pluto -bound New Horizons spacecraft in late February 2007 .	0
266	The probe used the gravity from Jupiter to increase its speed .	0
267	Future targets for exploration in the Jovian system include the possible ice-covered liquid ocean on the moon Europa .	0
268	Little League Baseball , May 2009 .	0
269	Little League pitcher in Winesburg , Ohio	0
270	Little League , Wayne , Michigan	0
271	Little League Baseball and Softball ( officially , Little League Baseball , Incorporated ) is a non-profit organization in South Williamsport , Pennsylvania , United States which organizes local youth baseball and softball leagues throughout the U.S. and the rest of the world .	0
272	Founded by Carl Stotz in 1939 as a three- team league in Williamsport , Pennsylvania , Little League Baseball encourages local volunteers to organize and operate Little League programs that are annually chartered through Little League International .	0
273	Each league can structure itself to best serve the children in the area in which the league operates .	0
274	Several specific divisions of Little League baseball and softball are available to children ages 4 to 18 .	0
275	The organization holds a congressional charter under Title 36 of the United States Code .	0
276	The organization 's administrative office is located in South Williamsport .	0
277	The first Little League Baseball World Series was played in Williamsport in 1947 .	0
278	The Little League International Complex hosts the annual Little League Baseball World Series at Howard J. Lamade Stadium and Little League Volunteer Stadium , and is also the site of the Peter J. McGovern Little League Museum , which provides a history of Little League Baseball and Softball through interactive exhibits for children .	0
279	Clarence Anicholas Clemons , Jr. ( January 11 , 1942 – June 18 , 2011 ) , also known as The Big Man , was an American musician and actor .	0
280	From 1972 until his death , he was a prominent member of Bruce Springsteen 's E Street Band , playing the tenor saxophone .	0
281	He released several solo albums and in 1985 , had a hit single with `` You 're a Friend of Mine `` , a duet with Jackson Browne .	0
282	As a guest musician he also featured on Aretha Franklin 's classic `` Freeway of Love `` and on Twisted Sister 's `` Be Chrool to Your Scuel `` as well as performing in concert with The Grateful Dead and Ringo Starr & His All-Starr Band .	0
283	As an actor Clemons featured in several films , including New York , New York and Bill & Ted 's Excellent Adventure .	0
284	He also made cameo appearances in several TV series , including Diff'rent Strokes , Nash Bridges , The Simpsons and The Wire .	0
285	Together with his television writer friend Don Reo he published his semi-fictional autobiography told in third person , Big Man : Real Life & Tall Tales , in 2009 .	0
286	Clemons suffered a stroke on June 12 , 2011 , and died of complications from it on June 18 .	0
287	A teleconverter attached between a camera and its objective	0
288	An Olympus EC-20 - 2x teleconverter lens attached between a camera.1 - Camera lens 2 - Teleconverter 3 - Camera body	0
289	A teleconverter ( sometimes called tele extender ) is a secondary lens which is mounted between the camera and a photographic lens .	0
290	Its job is to enlarge the central part of an image obtained by the objective lens .	0
291	For example , a 2× teleconverter for a 35 mm camera enlarges the central 12×18 mm part of an image to the size of 24×36 mm in the standard 35 mm film format .	0
292	Teleconverters are typically made in 1.4× , 1.7× , 2× and 3× models , of which 1.4× and 2× are most common .	0
293	The use of a 2× teleconverter gives the effect of using a lens with twice the focal length .	0
294	It also decreases the intensity of the light reaching the film by a factor of 4 ( an equivalent of doubling the focal ratio ) as well as the resolution ( by a factor of 2 ) .	0
295	Illustration of a Eukaryotic cell membrane	0
